member_id,loan_amount,term,grade,home_ownership,annual_income,verification_status,int_rate,dti,application_type,tot_cur_bal,loan_status
61974479,5300,36,3,2,34000,1,12.69,10.66,1,11900,0
55345901,5000,36,1,1,44236,0,6.89,21.32,1,57897,0
57175359,28000,60,1,3,85000,1,9.17,4.31,1,146182,0
46497625,22000,60,4,1,55000,1,16.55,17.32,1,25315,0
65668618,13550,36,4,1,60000,0,16.99,25.54,1,42886,0
65650493,10000,36,1,2,58000,1,11.53,11.65,1,12743,0
71336926,16000,36,1,1,50000,1,5.32,18.71,1,26807,0
31127663,12000,60,1,2,73600,1,12.49,8.94,1,41719,0
36144790,30000,60,1,3,120000,1,9.49,14.94,1,214384,0
7688708,8000,36,1,3,42000,0,10.64,25.30,1,161474,0
31337166,14500,36,1,2,90000,1,11.67,34.15,1,41019,0
70965225,25150,36,1,2,130000,1,9.76,32.74,1,108745,0
8102164,7200,36,4,3,62268,1,20.31,30.87,1,403512,0
6998278,21200,36,3,2,60000,1,16.29,24.80,1,98749,0
46456184,10150,60,4,3,28200,1,17.57,25.06,1,14677,0
59660764,18000,60,4,2,51650,1,17.57,24.51,1,25608,0
7648470,22000,60,3,3,50300,1,14.33,14.17,1,52348,0
69890060,12000,60,4,3,43000,0,16.99,23.61,1,168733,0
42982857,16000,36,1,3,130000,0,7.49,15.91,1,795423,0
1072349,16000,60,3,3,92000,1,15.61,11.33,1,237669,0
69604027,15000,60,3,2,60000,0,13.67,17.80,1,24110,0
14637330,12000,36,1,2,42000,0,9.17,23.91,1,33335,0
23011940,20000,60,3,1,140000,1,14.49,23.96,1,381762,0
60868554,35000,36,3,3,150000,1,13.33,2.40,1,317022,1
45261418,28000,36,1,3,101000,1,6.92,8.88,1,74344,0
66056008,5600,36,1,2,50000,1,9.17,5.23,1,6557,0
37708163,6000,36,1,3,117000,0,7.49,11.83,1,357373,1
1607923,9000,36,3,1,40000,1,15.31,23.52,1,,1
50156851,22300,60,4,3,58000,1,15.61,31.72,1,207856,0
1505478,16800,60,1,2,38000,1,12.12,14.78,1,,1
21658889,17000,60,5,3,49000,1,22.15,24.79,1,187785,0
1572896,18000,36,1,1,150000,1,7.90,7.86,1,,1
21117715,28000,36,1,2,115000,1,8.39,11.29,1,45602,0
14648408,9000,36,1,2,25000,1,12.49,16.61,1,20964,1
61465550,26100,36,4,2,58000,1,16.99,14.03,1,23927,0
69655768,30000,60,3,3,150000,1,12.59,15.34,1,74619,0
73039883,12000,36,1,2,1.00E+05,1,6.99,6.90,1,18613,0
14639046,6000,36,4,2,390000,1,18.25,3.74,1,36054,0
64213000,20875,60,7,1,58000,1,28.49,15.68,1,28773,0
21259336,2400,36,5,2,130000,1,18.99,1.37,1,2540,0
11816828,15000,36,1,2,120000,0,12.85,19.46,1,209503,0
1109629,2400,36,1,3,92000,0,12.69,20.40,1,,1
416096,7000,36,5,2,55000,1,16.32,3.99,1,,1
43122925,22325,60,4,3,52000,1,17.14,29.77,1,189210,0
70388451,3500,36,1,2,38000,1,6.24,16.01,1,12725,0
28471064,7000,36,1,3,60000,0,6.49,3.66,1,67211,0
49292318,16975,60,6,2,34000,1,25.57,21.28,1,31287,0
11786815,35000,36,4,3,84000,1,16.99,19.56,1,141512,0
19315999,14000,60,3,1,45000,1,14.49,20.96,1,17022,0
37105169,4800,36,3,2,55000,1,14.99,20.66,1,38935,0
7672057,14000,36,1,3,73000,1,11.55,14.91,1,397113,0
51543005,30000,60,5,3,110000,1,18.25,22.22,1,268952,0
70719694,14400,60,6,2,37000,1,21.99,31.93,1,30098,0
1240323,35000,36,1,3,90000,1,10.65,17.41,1,,1
35112671,20000,60,1,3,67000,1,10.15,11.87,1,185010,0
59145453,20000,60,4,3,54000,1,16.55,10.82,1,20974,0
12419124,16000,36,1,1,52000,0,13.53,16.94,1,30163,1
67687183,20000,60,3,3,110000,1,13.33,13.47,1,352644,0
59673600,12000,36,3,3,108000,1,14.65,10.77,1,371710,0
70367633,5000,36,1,2,49000,0,10.64,1.22,1,49447,0
11517981,29700,60,3,3,170000,1,14.98,23.74,1,729286,0
67777521,4800,36,1,3,385000,1,9.17,5.25,1,1275731,0
45310887,20000,36,1,3,93600,1,9.17,33.38,1,369867,0
47159692,4000,36,1,1,50000,0,10.99,12.79,1,10989,0
66722772,10900,36,3,3,35000,0,12.29,35.94,1,142058,0
48592531,15000,36,1,3,62000,0,8.18,12.21,1,109299,1
8199711,28000,60,5,3,109000,1,21.15,24.02,1,419933,1
42712199,20325,36,1,3,57000,1,8.67,29.24,1,236818,0
25305723,10000,36,1,3,82500,0,7.69,16.83,1,230826,0
27218478,12800,60,3,3,44000,0,12.99,23.30,1,197387,1
8728824,10275,36,1,3,29600,0,9.71,13.63,1,38375,0
27770420,7000,36,5,2,32500,0,19.52,27.66,1,21810,0
842080,25000,36,3,3,96000,1,13.80,1.48,1,,1
58369313,15000,36,5,2,35000,1,20.99,15.43,1,15550,0
25526064,15000,36,1,2,45000,1,10.99,16.16,1,26955,1
18605327,8150,36,4,2,60000,0,17.57,28.09,1,52359,1
59349233,6000,36,1,3,40000,1,11.53,16.47,1,149955,0
70259958,14000,36,1,3,58000,1,9.17,29.67,1,120660,0
1208136,3000,36,1,3,45000,0,11.71,15.23,1,,1
57444862,23325,60,6,2,63000,1,21.99,22.21,1,59812,0
67109138,30000,36,3,2,130000,1,12.05,7.56,1,21024,0
43906107,22000,36,3,2,72000,1,12.69,30.42,1,130027,0
11116763,6500,36,1,2,29900,0,10.99,23.56,1,10814,0
63592965,25000,60,1,3,135000,1,8.18,13.54,1,315571,0
36945138,7200,36,1,3,18024,1,8.19,9.72,1,2755,0
1599768,21625,60,5,2,45000,1,20.50,32.51,1,,0
46051693,22675,60,6,1,54051,1,22.99,18.21,1,25885,0
70649380,9200,36,1,1,20000,0,8.38,13.81,1,22363,0
55326418,16400,60,5,3,55000,0,19.99,34.67,1,259654,0
2557781,16500,60,4,3,110000,1,19.05,10.05,1,26566,0
45440670,11950,60,6,2,35000,1,23.99,14.71,1,5713,0
53233008,4500,36,1,3,106400,0,9.17,9.39,1,38691,0
71318975,18350,60,4,2,55000,1,16.55,33.93,1,82172,0
23653876,12000,60,4,3,92000,1,18.24,14.60,1,344169,1
6467988,21000,60,5,3,125000,1,22.47,13.47,1,583364,1
13967702,7000,36,1,3,160000,1,10.99,15.88,1,261450,0
37105807,19600,36,4,3,45000,0,15.59,25.76,1,145255,1
8229069,10000,36,1,3,90000,0,9.71,14.70,1,220734,0
65581774,16000,36,1,3,130000,0,7.89,26.80,1,326635,0
42648923,13000,36,1,2,52000,1,8.19,13.71,1,15925,0
57215409,11000,60,1,2,55000,1,9.99,25.05,1,66547,0
51944396,12450,36,3,2,68000,1,14.65,9.32,1,61199,1
9658256,11000,36,1,2,35000,1,10.99,26.23,1,99488,0
53959624,18000,36,1,2,105000,0,6.24,6.62,1,24981,0
61465202,20000,60,4,3,50100,0,17.86,19.59,1,40106,0
70434098,3000,36,3,2,40000,1,13.67,37.35,1,39636,0
70284176,10000,36,3,2,78000,1,12.05,4.80,1,27105,0
70233941,12000,36,1,2,90000,1,7.89,13.02,1,39497,0
39692918,10000,60,3,2,45000,1,13.66,29.12,1,55926,0
9428169,26375,60,3,3,60000,1,16.20,18.46,1,152124,1
21399483,22000,36,1,2,90000,1,7.69,16.37,1,53692,0
23062750,15000,60,4,1,60000,0,15.61,24.68,1,119007,0
58680162,7500,36,1,3,63200,0,10.99,8.58,1,84473,0
7537452,10000,36,1,3,45000,1,12.35,32.80,1,154943,0
16690685,10000,36,3,3,36852,1,14.64,21.26,1,160755,0
72489222,12000,36,1,2,33500,0,8.38,34.15,1,39752,0
49871795,23925,60,6,2,60000,1,22.99,18.90,1,104546,0
1225115,20000,60,1,2,55000,1,12.69,29.26,1,,1
65569473,2000,36,1,2,55000,0,8.18,20.88,1,35816,0
49575893,9975,36,4,2,28000,1,15.61,29.70,1,32579,0
3956886,35000,36,3,2,80445,1,16.29,25.24,1,61080,0
13147165,20000,36,3,3,220000,1,16.24,13.27,1,329538,0
8948242,10000,36,1,2,68000,0,12.99,14.70,1,33373,1
10557641,13000,36,4,3,95000,0,18.55,12.14,1,178923,0
7642523,12000,36,1,2,35000,0,12.35,15.22,1,37951,0
21318806,21000,36,1,3,120000,1,10.99,8.07,1,256274,0
42586156,11975,60,3,3,64000,1,12.39,30.79,1,162464,0
4719380,28000,36,1,3,145000,1,7.62,8.89,1,347081,1
71210229,25000,36,1,3,78000,0,5.32,11.58,1,216061,0
9340904,13000,36,3,3,50000,1,14.30,17.26,1,295126,0
946620,5500,36,1,1,35000,0,5.42,7.71,1,,1
59729609,14200,36,1,2,61000,0,11.53,29.10,1,30235,0
771068,4500,60,1,2,55000,1,6.17,14.81,1,,1
43581038,6800,36,3,2,47900,1,12.29,12.10,1,13889,0
42535892,25000,36,1,3,2.00E+05,1,6.49,9.94,1,351928,0
46616543,10000,36,1,3,145000,0,10.99,33.18,1,300411,0
51543244,19600,60,3,3,80000,1,12.29,14.48,1,38990,0
1027808,18000,36,3,3,93000,1,15.23,15.47,1,,1
18435645,15000,36,1,3,55000,1,7.69,22.91,1,136956,1
8550779,12000,36,1,2,97519,1,11.55,16.56,1,22720,0
46695971,23000,60,1,3,135000,1,9.99,23.00,1,317207,0
67169387,20000,36,3,2,50000,1,13.99,21.17,1,34706,0
31517001,11675,36,4,3,56000,1,18.24,37.06,1,186750,0
65002937,17650,36,4,3,70000,1,17.57,18.07,1,223548,0
18945146,2000,36,4,1,45000,1,15.61,6.50,1,9657,0
19345405,15000,36,1,2,75000,0,7.69,25.07,1,35975,0
28642123,10000,36,1,3,150000,0,11.67,9.06,1,214793,0
53926048,17675,36,1,3,1.00E+05,0,6.24,13.24,1,95565,0
70295652,15000,36,4,3,85000,1,17.57,18.47,1,238017,0
1701796,12000,36,1,3,115000,0,6.62,3.30,1,,1
6993177,20000,60,5,3,61000,1,21.49,23.22,1,50324,1
47964362,15000,36,1,3,275000,0,6.68,18.55,1,394034,0
46826708,16000,36,3,2,60000,1,12.29,16.20,1,20088,0
40503272,20000,36,1,3,50000,1,9.49,14.28,1,20449,0
59732719,25000,36,1,1,70000,0,7.89,22.25,1,130501,0
44215072,35000,60,4,3,74800,1,15.61,31.37,1,164189,0
1896608,11875,36,1,3,55000,0,14.09,13.75,1,13347,1
27769251,24000,60,1,3,70000,1,10.99,18.45,1,179994,0
28801202,20000,60,3,3,85000,1,12.99,17.93,1,17899,0
43335353,15000,60,3,2,85000,1,13.66,17.98,1,39404,0
34160841,12000,36,3,2,120000,1,13.98,19.54,1,287180,0
1779958,11700,36,1,2,38000,1,13.11,27.79,1,56496,1
73070359,15600,60,4,2,53000,1,17.97,32.72,1,41139,0
41240410,10000,36,3,2,28000,1,13.66,13.97,1,10615,0
11039992,10075,36,1,3,150000,1,8.90,7.65,1,658834,1
51370321,13000,36,1,2,73000,0,6.68,20.75,1,63379,0
37747783,4800,36,1,2,45600,0,7.49,22.39,1,68865,1
40996636,3000,36,3,3,135200,1,14.31,19.44,1,354452,1
53975230,2000,36,3,2,57987,0,14.65,19.88,1,30353,0
1002373,1000,36,5,3,50300,0,18.39,11.12,1,,1
744722,5000,60,1,3,65000,1,10.75,20.68,1,,1
55478491,35000,36,3,3,115000,1,14.65,8.29,1,411273,0
28701233,1750,36,6,2,38740,1,24.50,24.00,1,46002,0
31127745,24000,60,4,2,101000,1,15.61,15.05,1,55669,0
68720098,35000,60,5,2,1.00E+05,1,18.49,16.86,1,53735,0
14508768,16000,36,3,3,53000,0,15.31,17.53,1,99289,0
46306724,9500,36,1,3,91500,0,6.92,19.25,1,180899,0
64656494,3000,36,4,2,58500,1,17.57,17.09,1,18348,0
32138573,15000,36,4,3,165900,1,15.61,26.06,1,747460,0
43416541,8000,36,1,2,25000,1,11.44,33.27,1,25407,0
37077040,5600,36,3,3,45000,0,14.99,13.65,1,43083,1
69696671,15000,36,1,3,69500,0,9.17,11.85,1,236639,0
41220148,20325,60,5,2,51000,1,18.54,24.47,1,29046,0
49778117,13000,60,3,2,50000,1,14.65,19.30,1,35438,0
43742312,4800,36,4,2,57200,0,15.61,21.76,1,34710,0
42446428,11600,60,4,2,38000,1,16.55,32.75,1,14137,0
36936919,3600,36,4,2,51000,1,17.14,15.34,1,23746,0
22973397,9650,36,3,2,28665,0,13.98,27.55,1,146392,1
61059540,5000,36,1,3,50000,1,7.26,9.39,1,214638,1
28661038,15000,60,5,1,54000,1,19.52,27.88,1,312703,0
59589311,14700,60,4,2,32000,1,16.99,32.93,1,28856,0
46910503,28000,36,1,3,1.00E+05,1,6.68,14.66,1,56332,0
21379199,6050,36,3,2,25000,1,12.99,11.47,1,6289,0
66256003,7550,36,4,2,18000,1,16.99,24.53,1,9874,0
25616084,18000,36,1,3,40000,1,7.69,19.14,1,93245,1
774488,7500,60,4,3,69000,1,15.57,3.86,1,,0
53856129,23525,36,3,2,1.00E+05,1,14.65,6.23,1,25218,0
14487494,30000,60,6,2,125000,1,24.99,14.61,1,116274,0
620684,8500,36,1,2,47500,0,7.88,11.70,1,,1
69624886,14400,36,1,3,106000,0,6.89,33.84,1,144950,0
22972676,13000,60,4,2,52000,1,16.99,13.45,1,13295,0
7658755,12000,36,1,3,75000,1,11.55,22.38,1,43470,1
29032176,6000,36,1,3,31000,1,7.69,18.12,1,81987,0
5687042,22000,36,1,3,65000,1,12.12,16.86,1,198266,0
45260003,11000,60,3,2,35000,1,12.69,18.86,1,41790,0
1087011,9000,60,1,3,146760,1,9.99,29.79,1,,1
8450642,9950,36,1,2,30000,0,12.35,18.80,1,11304,0
28682913,24925,60,3,3,82000,1,13.98,30.70,1,201921,0
55456009,3750,36,4,3,50000,0,17.86,8.57,1,366823,0
72100422,18000,36,4,3,45000,0,16.55,18.05,1,165886,0
27710703,10000,36,3,1,70000,1,14.99,8.21,1,13288,0
13337543,16000,36,1,2,47500,1,11.99,9.88,1,18299,1
67760486,7000,36,1,1,35000,1,9.17,21.81,1,14262,0
2926987,15825,36,3,2,60000,1,14.33,8.80,1,17403,0
1736408,15000,36,1,3,80000,0,7.90,21.49,1,406681,1
7227132,17475,60,5,2,50000,1,21.00,26.04,1,74413,0
68289328,18325,36,3,1,53173.2,1,13.67,25.10,1,33086,0
1051047,5000,60,1,3,72600,0,7.49,13.59,1,,1
67867425,10000,36,4,3,85000,1,17.57,23.04,1,61335,0
35103256,12000,36,1,3,52000,1,10.15,17.47,1,60210,0
49833526,20000,60,3,2,66000,1,13.99,21.18,1,35353,0
1696372,21725,36,3,2,71000,1,14.33,19.59,1,,1
41373958,6000,36,3,2,25000,1,12.39,15.36,1,8183,0
38479476,14575,60,4,3,41500,0,17.86,18.97,1,92860,0
51340603,15000,60,3,3,88000,1,13.33,12.98,1,46894,0
66361833,10000,60,3,3,24000,0,13.99,6.95,1,148501,0
1494741,10000,36,1,2,34000,0,7.62,21.67,1,,1
8439485,32350,60,5,2,72400,1,22.70,26.22,1,57821,1
30055500,16575,60,6,3,75000,1,24.99,29.52,1,170930,0
13637602,7000,36,1,2,50995,1,8.90,5.67,1,15989,1
1800702,3500,36,1,3,60000,0,8.90,17.26,1,233837,1
58851420,24450,60,3,3,124000,1,13.33,28.42,1,244934,0
3177132,6000,36,1,3,88000,0,11.14,17.37,1,240085,1
47601008,4625,36,6,2,60000,1,23.99,15.04,1,211374,0
44246124,3550,36,3,2,34000,0,13.99,24.29,1,103485,0
7430044,8000,36,1,3,40000,1,9.71,15.90,1,139857,1
34622539,22125,60,4,2,60000,1,17.57,18.35,1,22391,0
57759468,24000,60,1,1,58000,1,10.99,16.68,1,184799,0
5777400,18250,60,3,3,61000,1,15.10,26.09,1,264915,0
2707664,4800,36,1,2,36000,0,12.12,19.40,1,57953,1
72418982,16000,36,1,2,250000,1,9.76,15.58,1,129420,0
26587719,9075,36,5,3,80000,1,20.20,16.58,1,111848,0
10761429,17625,60,4,3,65000,1,20.20,32.85,1,327823,0
2637053,11700,36,3,3,45000,1,15.80,8.74,1,26787,1
50216999,25000,60,3,2,167000,1,14.65,7.97,1,64033,0
53967696,35000,36,4,3,145000,1,17.57,8.90,1,254355,0
64994916,11000,36,3,2,110000,0,14.65,19.02,1,101576,0
35833512,35000,60,3,3,165000,1,12.99,17.31,1,556185,0
61058526,21500,60,3,1,43000,0,14.65,17.80,1,23200,0
1274411,17000,60,5,2,56000,1,19.03,17.27,1,,0
45341235,13700,36,4,3,65000,1,17.57,18.69,1,207625,0
48451830,11175,36,6,2,45000,1,25.57,29.33,1,65485,0
37727344,10000,60,4,3,75000,0,15.59,23.66,1,248611,0
12848234,30000,36,1,3,98000,1,12.85,7.83,1,373534,0
61607047,22000,60,5,2,73000,1,19.99,29.18,1,81863,1
1437973,20400,36,1,3,115200,1,13.67,14.76,1,,1
